Trial,Person,Made,Accuracy,Run Order,Stance,Focus,Hand Placement
4,Nabil,9,90,4,Staggered,No focus,Off seam
6,Nabil,7,70,6,Staggered,Focused,On seam
7,Nabil,8,80,7,Square,No focus,Off seam
2,Nabil,6,60,2,Staggered,No focus,On seam
5,Nabil,10,100,5,Square,No focus,On seam
1,Nabil,8,80,1,Staggered,Focused,Off seam
8,Nabil,8,80,8,Square,Focused,Off seam
3,Nabil,8,80,3,Square,Focused,On seam
